,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
897,1975,430241,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.7,#,1.7,0.0,1.0,#,1.7,#,1.7,0.0,1.0,#,1.7,#,1.7,#,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
898,1975,430251,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.7,#,1.7,0.0,1.0,#,1.7,#,1.7,0.0,1.0,#,1.7,#,1.7,#,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
899,1975,430261,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,2.3,#,29.0,4.0,8.0,#,2.3,#,29.0,4.0,8.0,#,10.0,#,7.3,#,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
900,1975,430271,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.1,#,6.8,0.0,8.0,#,1.1,#,6.8,0.0,8.0,#,2.6,#,2.3,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
901,1975,430281,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.4,#,11.0,1.0,7.0,#,1.4,#,11.0,1.0,7.0,#,3.1,#,1.8,#,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
902,1975,430291,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.3,#,7.1,2.0,8.0,#,1.3,#,7.1,2.0,8.0,#,2.7,#,2.2,#,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
903,1975,430301,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.7,#,10.0,1.0,8.0,#,1.7,#,10.0,1.0,8.0,#,3.1,#,2.3,#,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
904,1975,430311,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.9,#,2.2,2.0,8.0,#,1.0,#,2.1,1.0,4.0,#,1.7,#,1.9,#,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
905,1975,430321,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,1.3,#,4.8,5.0,8.0,#,1.3,#,4.8,5.0,8.0,#,2.4,#,2.1,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
906,1975,430331,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.8,#,4.8,2.0,7.0,#,0.8,#,4.8,2.0,7.0,#,2.1,#,1.6,#,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
