,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
8078,1983,1,89111.0,4610540,2,46,18,1,1,串良川水域,クシラカ゛ワスイイキ,,串良橋,クシラハ゛シ,,A,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R205,,,,31.39111111,130.96138889, 31:23:28,130:57:41,4601801
8079,1983,1,89111.0,4610550,2,46,18,51,2,串良川水域,クシラカ゛ワスイイキ,,堅田橋,カタタ゛ハ゛シ,,A,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37916667,130.96361111, 31:22:45,130:57:49,4601851
8080,1983,1,89594.0,4610560,2,46,19,1,1,田原川水域,タハ゛ルカ゛ワスイイキ,,河口から３００ｍ上流の地点,カコウカラ３００Ｍカミテ,,C,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R301,,,,31.41416667,131.02972222, 31:24:51,131:01:47,4601901
8081,1983,1,89320.0,4610590,2,46,20,1,1,菱田川水域,ヒシタ゛カ゛ワスイイキ,,菱田橋,ヒシタ゛ハ゛シ,,A,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R311,,,,31.44805556,131.05250000, 31:26:53,131:03:09,4602001
8082,1983,1,89594.0,4610600,2,46,21,1,1,安楽川水域,アンラクカ゛ワスイイキ,,安楽橋,アンラクハ゛シ,,A,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R323,,,,31.46527778,131.07611111, 31:27:55,131:04:34,4602101
8083,1983,1,89595.0,4610630,2,46,22,1,1,和田川水域,ワタ゛カ゛ワスイイキ,,潮見橋,シオミハ゛シ,,C,3.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R601,,,,31.51500000,130.51694444, 31:30:54,130:31:01,4602201
8084,1983,1,89595.0,4610640,2,46,23,1,1,永田川水域,ナカ゛タカ゛ワスイイキ,,新永田橋,シンナカ゛タハ゛シ,,B,3.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R611,,,,31.52666667,130.51361111, 31:31:36,130:30:49,4602301
8085,1983,1,89595.0,4610660,2,46,24,1,1,思川水域,オモイカ゛ワスイイキ,,青木水流橋,アオキツルハ゛シ,,A,3.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R701,,,,31.71472222,130.62000000, 31:42:53,130:37:12,4602401
8086,1983,1,89595.0,4610670,2,46,25,1,1,別府川水域,ヘ゛ツフ゜カ゛ワスイイキ,,岩淵橋,イワフ゛チハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R702,,,,31.73944444,130.63305556, 31:44:22,130:37:59,4602501
8087,1983,1,89595.0,4610680,2,46,26,1,1,網掛川水域,アミカケカ゛ワスイイキ,,田中橋,タナカハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R721,,,,31.73972222,130.65888889, 31:44:23,130:39:32,4602601
