,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
14,1980,1,,110154,2,1,7,1,,常呂川下流,トコロガワ カリユウ,,忠志橋,チユウシバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110170.0,81004.0,,43.92111111,143.96555556, 43:55:16,143:57:56,0100701
15,1980,1,,110164,2,1,7,51,,,トコロガワ カリユウ,,,カミカワゾエリユウリヨウカンソクジヨ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110180.0,,,44.05222222,144.03277778, 44:03:08,144:01:58,0100751
16,1980,1,,110174,2,1,7,52,,,トコロガワ カリユウ,,,ワカマツバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110190.0,,,43.79944444,143.91111111, 43:47:58,143:54:40,0100752
17,1980,1,,110184,2,1,7,53,,常呂川下流,トコロガワ カリユウ,,第2観月橋,ダイ 2 カンゲツバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110200.0,,,43.79083333,143.90277778, 43:47:27,143:54:10,0100753
18,1980,1,,110194,2,1,7,54,,常呂川下流,トコロガワ カリユウ,,見晴橋,ミハラシバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110210.0,,,43.80694444,143.91388889, 43:48:25,143:54:50,0100754
19,1980,1,,110204,2,1,8,1,,十勝川上流,トカチガワ ジヨウリユウ,,上川橋,カミカワバシ,,AA,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110220.0,81013.0,,43.03500000,142.93583333, 43:02:06,142:56:09,0100801
20,1980,1,,110214,2,1,8,51,,十勝川上流,トカチガワ ジヨウリユウ,,新清橋,シンセイバシ,,AA,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110230.0,81013.0,,43.09638889,142.91722222, 43:05:47,142:55:02,0100851
21,1980,1,,110224,2,1,9,1,,十勝川中流,トカチガワ チユウリユウ,,佐幌川合流前,サホロガワゴウリユウマエ,,A,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110240.0,81013.0,,42.98444444,142.94805556, 42:59:04,142:56:53,0100901
22,1980,1,,110234,2,1,10,1,,,トカチガワ カリユウ,,,モイワバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110250.0,,,42.80694444,143.51055556, 42:48:25,143:30:38,0101001
23,1980,1,,110244,2,1,10,2,,十勝川下流,トカチガワ カリユウ,,千代田堰堤,チヨダエンテイ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110260.0,81013.0,,42.94055556,143.33972222, 42:56:26,143:20:23,0101002
24,1980,1,,110254,2,1,10,3,,,トカチガワ カリユウ,,,トカチオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110270.0,,,42.93527778,143.20222222, 42:56:07,143:12:08,0101003
25,1980,1,,110264,2,1,10,51,,,トカチガワ カリユウ,,,シヨウエイバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110280.0,,,42.92777778,143.04750000, 42:55:40,143:02:51,0101051
26,1980,1,,110274,2,1,10,52,,十勝川下流,トカチガワ カリユウ,,十勝橋,トカチバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110290.0,81013.0,,42.95888889,142.96166667, 42:57:32,142:57:42,0101052
27,1980,1,,110294,2,1,11,1,,網走川上流,アバシリガワ ジヨウリユウ,,大正橋,タイシヨウバシ,,A,1.0,1.0,1971.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110310.0,81005.0,,43.82527778,144.09111111, 43:49:31,144:05:28,0101101
28,1980,1,,110304,2,1,12,1,,,アバシリガワ チユウリユウ,,,チスイバシ,,B,2.0,1.0,1971.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110320.0,,,43.90972222,144.13916667, 43:54:35,144:08:21,0101201
29,1980,1,,110314,2,1,13,1,,網走川下流,アバシリガワ カリユウ,,網走橋,アバシリバシ,,B,2.0,1.0,1971.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330.0,81005.0,,44.02361111,144.26722222, 44:01:25,144:16:02,0101301
30,1980,1,,110324,2,1,14,1,,美幌川上流,ビホロガワ ジヨウリユウ,,都橋,ミヤコバシ,,A,1.0,1.0,1971.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110340.0,81005.0,,43.80277778,144.17027778, 43:48:10,144:10:13,0101401
31,1980,1,,110334,2,1,15,1,,美幌川下流,ビホロガワ カリユウ,,美幌橋,ビホロバシ,,B,2.0,1.0,1971.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110350.0,81005.0,,43.82861111,144.12277778, 43:49:43,144:07:22,0101501
32,1980,1,,110344,2,1,16,1,,,ルモイガワ ジヨウリユウ,,,タチバナバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110360.0,,,43.84888889,141.80555556, 43:50:56,141:48:20,0101601
33,1980,1,,110354,2,1,17,1,,留萌川中流,ルモイガワ チユウリユウ,,１６線橋,16 センバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110370.0,81006.0,,43.88805556,141.71777778, 43:53:17,141:43:04,0101701
34,1980,1,,110364,2,1,18,1,,,ルモイガワ カリユウ,,,ルモイバシ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110380.0,,,43.95333333,141.64388889, 43:57:12,141:38:38,0101801
35,1980,1,,110374,2,1,18,51,,,ルモイガワ カリユウ,,,オオワダリユウリヨウカンソクジヨ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110390.0,,,43.90777778,141.70000000, 43:54:28,141:42:00,0101851
36,1980,1,,110384,2,1,19,1,,,テシオガワ ジヨウリユウ,,,アサヒバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110400.0,,,44.10972222,142.59805556, 44:06:35,142:35:53,0101901
37,1980,1,,110394,2,1,20,1,,,テシオガワ チユウリユウ,,,ヒガシヤマ ジヨウスイシユスイグチ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110410.0,,,44.17833333,142.41472222, 44:10:42,142:24:53,0102001
38,1980,1,,110404,2,1,21,1,,天塩川下流（１）,テシオガワ カリユウ (1),,名寄市上水緑ヶ丘浄水場取水口,ミドリガオカジヨウスイシユスイクチ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110420.0,81001.0,,44.34027778,142.48777778, 44:20:25,142:29:16,0102101
39,1980,1,,110414,2,1,22,1,,天塩川下流（２）,テシオガワ カリユウ (2),,下中川捕獲場,シモナカガワホカクジヨウ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110430.0,81001.0,,44.84388889,142.07611111, 44:50:38,142:04:34,0102201
40,1980,1,,110424,2,1,23,1,,天塩川下流（３）,テシオガワ カリユウ (3),,１２線橋（犬牛別川合流前）,12 センバシ,,A,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110440.0,81001.0,,44.14138889,142.39472222, 44:08:29,142:23:41,0102301
41,1980,1,,110434,2,1,24,1,,天塩川下流（４）,テシオガワ カリユウ (4),,中川捕獲場（佐久橋）,ナカガワホカクジヨウ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110450.0,81001.0,,44.74361111,142.04444444, 44:44:37,142:02:40,0102401
42,1980,1,,110444,2,1,24,51,,,テシオガワ カリユウ (4),,,マルヤマリユウリヨウカンソクジヨ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110460.0,,,44.92888889,141.87777778, 44:55:44,141:52:40,0102451
43,1980,1,,110454,2,1,24,52,,天塩川下流（４）,テシオガワ カリユウ (4),,美深橋,ビフカバシ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110470.0,81001.0,,44.48138889,142.33555556, 44:28:53,142:20:08,0102452
44,1980,1,,110464,2,1,24,53,,天塩川下流（４）,テシオガワ カリユウ (4),,東恵橋,トウケイバシ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110480.0,,,44.42583333,142.44444444, 44:25:33,142:26:40,0102453
45,1980,1,,110474,2,1,24,54,,天塩川下流（４）,テシオガワ カリユウ (4),,名寄大橋,ナヨロオオハシ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110490.0,81001.0,,44.36083333,142.44416667, 44:21:39,142:26:39,0102454
46,1980,1,,110484,2,1,25,1,,興部川上流,オコツペガワ ジヨウリユウ,,七江橋（忍路子川合流前）,ナナエバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110500.0,81207.0,,44.33250000,142.93111111, 44:19:57,142:55:52,0102501
47,1980,1,,110494,2,1,26,1,,興部川中流,オコツペガワ チユウリユウ,,興部町興部簡水取水口,オコツペカンスイ シユスイクチ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110520.0,81207.0,,44.46583333,143.10333333, 44:27:57,143:06:12,0102601
48,1980,1,,110504,2,1,27,1,,興部川下流,オコツペガワ カリユウ,,興部捕獲場,オコツペホカクジヨウ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110530.0,81207.0,,44.47527778,143.11694444, 44:28:31,143:07:01,0102701
49,1980,1,,110514,2,1,28,1,,渚滑川上流,シヨコツガワ ジヨウリユウ,,滝ノ上橋,タキノウエバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110540.0,81209.0,,44.18861111,143.32333333, 44:11:19,143:19:24,0102801
50,1980,1,,110524,2,1,29,1,,渚滑川中流,シヨコツガワ チユウリユウ,,花園浄水場取水口,ハナゾノジヨウスイジヨウ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110550.0,81002.0,,44.34888889,143.27277778, 44:20:56,143:16:22,0102901
51,1980,1,,110534,2,1,30,1,,渚滑川下流,シヨコツガワ カリユウ,,渚滑捕獲場,シヨコツホカクジヨウ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110570.0,81002.0,,44.38250000,143.31083333, 44:22:57,143:18:39,0103001
52,1980,1,,110544,2,1,31,1,,湧別川上流,ユウベツガワ ジヨウリユウ,,白滝橋（支湧別川合流前）,シラタキバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110580.0,81003.0,,43.88250000,143.17555556, 43:52:57,143:10:32,0103101
53,1980,1,,110554,2,1,32,1,,湧別川下流（１）,ユウベツガワ カリユウ (1),,丸瀬布町簡水予備取水口,マルセツプカンスイヨビ シユスイクチ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110590.0,81003.0,,44.00166667,143.31972222, 44:00:06,143:19:11,0103201
54,1980,1,,110564,2,1,33,1,,湧別川下流（２）,ユウベツガワ カリユウ (2),,中湧別橋,ナカユウベツバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110600.0,81003.0,,44.20000000,143.59138889, 44:12:00,143:35:29,0103301
55,1980,1,,110574,2,1,33,51,,湧別川下流（２）,ユウベツガワ カリユウ (2),,遠軽橋,エンガルバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110610.0,81003.0,,44.05305556,143.51944444, 44:03:11,143:31:10,0103351
56,1980,1,,110584,2,1,34,1,,佐呂間別川上流,サロマベツガワ ジヨウリユウ,,敷島橋,シキシマバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110620.0,81210.0,,43.96555556,143.67055556, 43:57:56,143:40:14,0103401
57,1980,1,,110594,2,1,35,1,,佐呂間別川下流,サロマベツガワ カリユウ,,佐呂間大橋,サロマオオハシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110630.0,81210.0,,44.07972222,143.93666667, 44:04:47,143:56:12,0103501
58,1980,1,,110604,2,1,36,1,,止別川上流,ヤンベツガワ ジヨウリユウ,,水上橋,キタガミバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110640.0,81504.0,,43.79777778,144.49416667, 43:47:52,144:29:39,0103601
60,1980,1,,110624,2,1,37,51,,止別川中流,ヤンベツガワ チユウリユウ,,止別川合流前（無名橋）,ヤンベツガワゴウリユウマエ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110660.0,81504.0,,43.82277778,144.48166667, 43:49:22,144:28:54,0103751
61,1980,1,,110634,2,1,38,1,,止別川下流,ヤンベツガワ カリユウ,,中島橋,ナカジマバシ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110670.0,81504.0,,43.91250000,144.47333333, 43:54:45,144:28:24,0103801
62,1980,1,,110644,2,1,39,1,,斜里川上流,シヤリガワ ジヨウリユウ,,長栄橋（札弦川合流前）,チヨウエイバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110680.0,81211.0,,43.74500000,144.51888889, 43:44:42,144:31:08,0103901
63,1980,1,,110654,2,1,40,1,,斜里川中流,シヤリガワ チユウリユウ,,９線橋（ペーメン川合流前）,9 センバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110690.0,81211.0,,43.79638889,144.55166667, 43:47:47,144:33:06,0104001
64,1980,1,,110664,2,1,41,1,,斜里川下流（１）,シヤリガワ カリユウ (1),,エトンビ橋,エトンビバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110700.0,81211.0,,43.82416667,144.59750000, 43:49:27,144:35:51,0104101
65,1980,1,,110674,2,1,42,1,,斜里川下流（２）,シヤリガワ カリユウ (2),,斜里捕獲場,シヤリホカクジヨウ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110710.0,81211.0,,43.90972222,144.65305556, 43:54:35,144:39:11,0104201
66,1980,1,,110684,2,1,42,51,,斜里川下流（２）,シヤリガワ カリユウ (2),,斜里新大橋,シヤリシンオオハシ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110720.0,81211.0,,43.89972222,144.64111111, 43:53:59,144:38:28,0104251
67,1980,1,,110694,2,1,42,52,,斜里川下流（２）,シヤリガワ カリユウ (2),,川上橋,カワカミバシ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110730.0,81211.0,,43.87027778,144.65000000, 43:52:13,144:39:00,0104252
68,1980,1,,110704,2,1,43,1,,標津川上流,シベツガワ ジヨウリユウ,,西竹橋（ケネカ川合流前）,ニシタケバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110740.0,81241.0,,43.50750000,144.81638889, 43:30:27,144:48:59,0104301
69,1980,1,,110714,2,1,44,1,,標津川中流,シベツガワ チユウリユウ,,南共栄橋（俣落川合流前）,ミナミキヨウエイバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110750.0,81241.0,,43.52138889,144.88472222, 43:31:17,144:53:05,0104401
70,1980,1,,110724,2,1,45,1,,標津川下流（１）,シベツガワ カリユウ (1),,武佐川橋,ムサガワバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110760.0,81241.0,,43.60722222,144.98972222, 43:36:26,144:59:23,0104501
71,1980,1,,110734,2,1,46,1,,標津川下流（２）,シベツガワ カリユウ (2),,標津捕獲場,シベツホカクジヨウ,,B,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110770.0,81241.0,,43.66138889,145.11305556, 43:39:41,145:06:47,0104601
72,1980,1,,110744,2,1,47,1,,釧路川上流,クシロガワ ジヨウリユウ,,瀬文平橋（多和川合流前）,セモンビラバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110780.0,81012.0,,43.34861111,144.57916667, 43:20:55,144:34:45,0104701
73,1980,1,,110754,2,1,48,1,,釧路川中流,クシロガワ チユウリユウ,,釧路市上水愛国浄水場取水口,アイコクジヨウスイジヨウシユスイクチ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110790.0,81012.0,,43.07250000,144.41111111, 43:04:21,144:24:40,0104801
74,1980,1,,110764,2,1,48,51,,釧路川中流,クシロガワ チユウリユウ,,開運橋,カイウンバシ,,A,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110800.0,81012.0,,43.30027778,144.60222222, 43:18:01,144:36:08,0104851
75,1980,1,,110774,2,1,49,1,,,クシロガワ カリユウ (1),,,モセツツリバシ,,AA,1.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110810.0,,,43.23805556,144.31972222, 43:14:17,144:19:11,0104901
76,1980,1,,110784,2,1,50,1,,釧路川下流（２）,クシロガワ カリユウ (2),,新川橋,シンカワバシ,,B,2.0,3.0,1972.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110820.0,81012.0,,42.99972222,144.35972222, 42:59:59,144:21:35,0105001
