,西暦年度,絶対番号,県コード_地点統一番号_x,水域コード_地点統一番号_x,地点コード_地点統一番号_x,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号_x,ＲＬＳ識別コード,水系コード,地点新設等コード,県コード_地点統一番号_y,水域コード_地点統一番号_y,地点コード_地点統一番号_y,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号_y
415,1971,1210811,,,,0,,,,,,,,,,,,,,,#,2.0,#,20.0,1.0,3.0,#,2.0,#,20.0,1.0,3.0,#,8.5,#,3.4,#,20.0,#,7.6,#,39.0,,3.0,#,7.6,#,39.0,,3.0,#,23.0,#,22.0,#,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,人見橋,ヒトミバシ,,C,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3730,1210740.0,83266.0,,35.25250000,139.99833333, 35:15:09,139:59:54,
416,1971,1210821,,,,0,,,,,,,,,,,,,,,#,1.2,#,1.8,0.0,3.0,#,1.2,#,1.8,0.0,3.0,#,1.5,#,1.5,#,1.8,#,3.9,#,4.4,,3.0,#,3.9,#,4.4,,3.0,#,4.2,#,4.4,#,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,岩田橋,イワタバシ,,A,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3910,1210760.0,83265.0,,35.31305556,140.05166667, 35:18:47,140:03:06,
417,1971,1210831,,,,0,,,,,,,,,,,,,,,#,1.1,#,3.0,0.0,3.0,#,1.1,#,3.0,0.0,3.0,#,2.1,#,2.1,#,3.0,#,4.8,#,8.6,,3.0,#,4.8,#,8.6,,3.0,#,6.8,#,6.9,#,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,コビツバシ,,B,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3920,1210770.0,83265.0,,35.42500000,139.94333333, 35:25:30,139:56:36,
418,1971,1210841,,,,0,,,,,,,,,,,,,,,#,1.2,#,3.4,1.0,3.0,#,1.2,#,3.4,1.0,3.0,#,2.1,#,1.8,#,3.4,#,4.4,#,5.4,,3.0,#,4.4,#,5.4,,3.0,#,5.0,#,5.1,#,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,ミハラガワバシ,,A,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3930,1210780.0,83265.0,,35.32333333,140.05944444, 35:19:24,140:03:34,
419,1971,1210851,,,,0,,,,,,,,,,,,,,,#,1.2,#,2.7,4.0,5.0,#,1.2,#,2.7,4.0,5.0,#,2.2,#,2.2,#,2.6,#,2.7,#,5.2,,5.0,#,2.7,#,5.2,,5.0,#,4.5,#,4.9,#,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,高滝ダム,タカタキダム,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4010,1210110.0,83264.0,,35.35333333,140.15888889, 35:21:12,140:09:32,
420,1971,1210861,,,,0,,,,,,,,,,,,,,,#,1.0,#,2.1,0.0,3.0,#,1.0,#,2.1,0.0,3.0,#,1.4,#,1.0,#,2.1,#,4.1,#,6.4,,3.0,#,4.1,#,6.4,,3.0,#,5.2,#,5.2,#,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,浅井橋,アサイバシ,,B,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4020,1210120.0,83264.0,,35.13555556,140.11500000, 35:08:08,140:06:54,
421,1971,1210871,,,,0,,,,,,,,,,,,,,,#,1.9,#,9.0,3.0,8.0,#,1.9,#,9.0,3.0,8.0,#,4.3,#,2.8,#,6.7,#,3.6,#,16.0,,8.0,#,3.6,#,16.0,,8.0,#,9.2,#,8.8,#,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,養老大橋,ヨウロウオオハシ,,C,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4030,1210130.0,83264.0,,35.53166667,140.07333333, 35:31:54,140:04:24,
422,1971,1210881,,,,0,,,,,,,,,,,,,,,#,1.0,#,4.7,0.0,3.0,#,1.0,#,4.7,0.0,3.0,#,2.6,#,2.1,#,4.7,#,1.0,#,5.6,,3.0,#,1.0,#,5.6,,3.0,#,2.8,#,1.9,#,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,草刈橋,クサカリバシ,,C,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4110,1210810.0,83544.0,,35.52388889,140.16611111, 35:31:26,140:09:58,
423,1971,1210891,,,,0,,,,,,,,,,,,,,,#,2.3,#,16.0,5.0,7.0,#,2.3,#,16.0,5.0,7.0,#,8.0,#,8.3,#,10.0,#,4.1,#,16.0,,7.0,#,4.1,#,16.0,,7.0,#,9.0,#,8.8,#,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,新村田橋,シンムラタバシ,,C,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4120,1210790.0,83544.0,,35.54694444,140.12555556, 35:32:49,140:07:32,
424,1971,1210911,,,,0,,,,,,,,,,,,,,,#,2.9,#,27.0,14.0,28.0,#,2.9,#,24.0,7.0,10.0,#,13.0,#,14.0,#,16.0,#,7.8,#,26.0,,28.0,#,7.8,#,22.0,,10.0,#,14.0,#,13.0,#,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,都橋,ミヤコバシ,,E,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R4210,1210820.0,83544.0,,35.60611111,140.12472222, 35:36:22,140:07:29,
