西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2009,3212890,32,325,01,0,#,7.2,#,7.7,999,4,#,8.2,#,12,999,4,#,10,#,0.5,#,1.2,999,4,#,0.5,#,1.2,999,4,#,0.8,#,0.7,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,4,999,4,#,2,#,3300,#,13000,999,4,#,7400,E,99999,E,99999,999,999,E,99999
2009,3220010,32,501,01,0,#,7.6,#,8.7,2,60,<,0.5,#,11,26,60,#,7.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,6.6,59,60,#,3.7,#,5.7,20,20,#,4.7,#,4.8,#,5.2,#,1,#,19,13,36,#,6,#,2,#,3500,2,16,#,400,E,99999,E,99999,999,999,E,99999
2009,3220020,32,501,02,0,#,7.6,#,8.7,3,60,<,0.5,#,11,20,60,#,7.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.6,#,6.3,57,60,#,3.4,#,5.5,20,20,#,4.6,#,4.8,#,5,#,1,#,18,5,36,#,4,<,2,#,790,0,16,#,150,E,99999,E,99999,999,999,E,99999
2009,3220030,32,501,03,0,#,7.6,#,8.9,6,60,<,0.5,#,11,26,60,#,6.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1.9,#,11,49,60,#,2.8,#,8,21,22,#,4.5,#,4.3,#,4.8,#,1,#,14,5,36,#,4,#,6,#,330,0,16,#,77,E,99999,E,99999,999,999,E,99999
2009,3220040,32,501,04,0,#,7.6,#,8.9,10,60,<,0.5,#,13,24,60,#,7.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.6,#,9.8,51,60,#,2.9,#,6.6,20,22,#,4.5,#,4.5,#,5,#,1,#,11,2,36,#,3,<,2,#,490,0,16,#,110,E,99999,E,99999,999,999,E,99999
2009,3220050,32,501,05,0,#,7.6,#,8.8,4,61,<,0.5,#,11,24,61,#,7.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.7,#,6.7,58,61,#,3.4,#,5.7,22,22,#,4.4,#,4.4,#,4.7,#,1,#,6,1,37,#,4,<,2,#,490,0,16,#,79,E,99999,E,99999,999,999,E,99999
2009,3220060,32,501,06,0,#,7.6,#,8.9,5,60,<,0.5,#,11,24,60,#,7.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,6.5,46,60,#,2.9,#,5.3,21,22,#,4.1,#,4.1,#,4.3,#,2,#,11,5,36,#,4,<,2,#,220,0,16,#,31,E,99999,E,99999,999,999,E,99999
2009,3220410,32,501,07,0,#,7.8,#,8.9,2,24,#,1.1,#,11,9,24,#,7.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1.7,#,6.2,12,24,#,3,#,4.4,10,12,#,3.7,#,3.7,#,4.2,<,1,#,5,0,24,#,3,<,2,#,33,0,4,#,11,E,99999,E,99999,999,999,E,99999
2009,3220470,32,501,08,0,#,7.6,#,8.6,1,48,<,0.5,#,12,25,48,#,7.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.4,#,5.1,41,48,#,2.5,#,4.5,19,22,#,3.8,#,3.9,#,4.4,#,1,#,8,1,36,#,2,<,2,#,33,0,16,#,8,E,99999,E,99999,999,999,E,99999
2009,3220480,32,501,09,0,#,7.5,#,8.7,1,48,<,0.5,#,11,23,48,#,6.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.2,#,6.3,44,48,#,2.5,#,5.3,20,22,#,4,#,4.1,#,4.4,#,1,#,10,2,36,#,3,<,2,#,23,0,16,#,7,E,99999,E,99999,999,999,E,99999
